year,ignore,temperature,percentile,scenario,color_val
1948.04,,0.226,50,grey,"rgb(100,100,100)"
1949.04,,0.227,50,grey,"rgb(100,100,100)"
1950.04,,0.229,50,grey,"rgb(100,100,100)"
1951.04,,0.231,50,grey,"rgb(100,100,100)"
1952.04,,0.233,50,grey,"rgb(100,100,100)"
1953.04,,0.235,50,grey,"rgb(100,100,100)"
1954.04,,0.238,50,grey,"rgb(100,100,100)"
1955.04,,0.24,50,grey,"rgb(100,100,100)"
1956.04,,0.242,50,grey,"rgb(100,100,100)"
1957.04,,0.245,50,grey,"rgb(100,100,100)"
1958.04,,0.248,50,grey,"rgb(100,100,100)"
1959.04,,0.251,50,grey,"rgb(100,100,100)"
1960.04,,0.255,50,grey,"rgb(100,100,100)"
1961.04,,0.259,50,grey,"rgb(100,100,100)"
1962.04,,0.262,50,grey,"rgb(100,100,100)"
1963.04,,0.265,50,grey,"rgb(100,100,100)"
1964.04,,0.269,50,grey,"rgb(100,100,100)"
1965.04,,0.273,50,grey,"rgb(100,100,100)"
1966.04,,0.278,50,grey,"rgb(100,100,100)"
1967.04,,0.283,50,grey,"rgb(100,100,100)"
1968.04,,0.289,50,grey,"rgb(100,100,100)"
1969.04,,0.295,50,grey,"rgb(100,100,100)"
1970.04,,0.302,50,grey,"rgb(100,100,100)"
1971.04,,0.31,50,grey,"rgb(100,100,100)"
1972.04,,0.32,50,grey,"rgb(100,100,100)"
1973.04,,0.331,50,grey,"rgb(100,100,100)"
1974.04,,0.343,50,grey,"rgb(100,100,100)"
1975.04,,0.357,50,grey,"rgb(100,100,100)"
1976.04,,0.371,50,grey,"rgb(100,100,100)"
1977.04,,0.387,50,grey,"rgb(100,100,100)"
1978.04,,0.403,50,grey,"rgb(100,100,100)"
1979.04,,0.42,50,grey,"rgb(100,100,100)"
1980.04,,0.438,50,grey,"rgb(100,100,100)"
1981.04,,0.457,50,grey,"rgb(100,100,100)"
1982.04,,0.473,50,grey,"rgb(100,100,100)"
1983.04,,0.49,50,grey,"rgb(100,100,100)"
1984.04,,0.506,50,grey,"rgb(100,100,100)"
1985.04,,0.522,50,grey,"rgb(100,100,100)"
1986.04,,0.538,50,grey,"rgb(100,100,100)"
1987.04,,0.555,50,grey,"rgb(100,100,100)"
1988.04,,0.571,50,grey,"rgb(100,100,100)"
1989.04,,0.588,50,grey,"rgb(100,100,100)"
1990.04,,0.603,50,grey,"rgb(100,100,100)"
1991.04,,0.618,50,grey,"rgb(100,100,100)"
1992.04,,0.633,50,grey,"rgb(100,100,100)"
1993.04,,0.647,50,grey,"rgb(100,100,100)"
1994.04,,0.659,50,grey,"rgb(100,100,100)"
1995.04,,0.671,50,grey,"rgb(100,100,100)"
1996.04,,0.683,50,grey,"rgb(100,100,100)"
1997.04,,0.695,50,grey,"rgb(100,100,100)"
1998.04,,0.708,50,grey,"rgb(100,100,100)"
1999.04,,0.722,50,grey,"rgb(100,100,100)"
2000.04,,0.735,50,grey,"rgb(100,100,100)"
2001.04,,0.749,50,grey,"rgb(100,100,100)"
2002.04,,0.763,50,grey,"rgb(100,100,100)"
2003.04,,0.777,50,grey,"rgb(100,100,100)"
2004.04,,0.792,50,grey,"rgb(100,100,100)"
2005.04,,0.808,50,grey,"rgb(100,100,100)"
2006.04,,0.825,50,grey,"rgb(100,100,100)"
2007.04,,0.841,50,grey,"rgb(100,100,100)"
2008.04,,0.859,50,grey,"rgb(100,100,100)"
2009.04,,0.876,50,grey,"rgb(100,100,100)"
2010.04,,0.892,50,grey,"rgb(100,100,100)"
2011.04,,0.909,50,grey,"rgb(100,100,100)"
2012.04,,0.927,50,grey,"rgb(100,100,100)"
2013.04,,0.946,50,grey,"rgb(100,100,100)"
2014.04,,0.966,50,grey,"rgb(100,100,100)"
2015.04,,0.987,50,grey,"rgb(100,100,100)"
2016.04,,1.009,50,grey,"rgb(100,100,100)"
2017.04,,1.033,50,grey,"rgb(100,100,100)"
1850.04,,-0.023,17,grey,"rgb(100,100,100)"
1851.04,,-0.022,17,grey,"rgb(100,100,100)"
1852.04,,-0.021,17,grey,"rgb(100,100,100)"
1853.04,,-0.02,17,grey,"rgb(100,100,100)"
1854.04,,-0.019,17,grey,"rgb(100,100,100)"
1855.04,,-0.019,17,grey,"rgb(100,100,100)"
1856.04,,-0.019,17,grey,"rgb(100,100,100)"
1857.04,,-0.019,17,grey,"rgb(100,100,100)"
1858.04,,-0.019,17,grey,"rgb(100,100,100)"
1859.04,,-0.018,17,grey,"rgb(100,100,100)"
1860.04,,-0.018,17,grey,"rgb(100,100,100)"
1861.04,,-0.019,17,grey,"rgb(100,100,100)"
1862.04,,-0.019,17,grey,"rgb(100,100,100)"
1863.04,,-0.02,17,grey,"rgb(100,100,100)"
1864.04,,-0.02,17,grey,"rgb(100,100,100)"
1865.04,,-0.019,17,grey,"rgb(100,100,100)"
1866.04,,-0.019,17,grey,"rgb(100,100,100)"
1867.04,,-0.018,17,grey,"rgb(100,100,100)"
1868.04,,-0.017,17,grey,"rgb(100,100,100)"
1869.04,,-0.016,17,grey,"rgb(100,100,100)"
1870.04,,-0.015,17,grey,"rgb(100,100,100)"
